,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0.E+00,2.E-11,0.E+00,0.E+00,-3.E+00
1.E+00,0.E+00,0.E+00,0.E+00,-2.E+00
2.E+00,-2.E-11,0.E+00,0.E+00,-2.E+00
3.E+00,2.E-11,0.E+00,2.E-11,-1.E+00
4.E+00,-2.E-11,0.E+00,-2.E-11,-6.E-01
5.E+00,2.E-11,0.E+00,0.E+00,0.E+00
6.E+00,0.E+00,0.E+00,0.E+00,6.E-01
7.E+00,2.E-11,0.E+00,0.E+00,1.E+00
8.E+00,2.E-11,0.E+00,-2.E-11,2.E+00
9.E+00,0.E+00,0.E+00,0.E+00,2.E+00
1.E+01,2.E-11,0.E+00,0.E+00,3.E+00
1.E+01,-2.E-11,0.E+00,-2.E-11,3.E+00
1.E+01,-2.E-11,0.E+00,0.E+00,2.E+00
1.E+01,0.E+00,0.E+00,0.E+00,2.E+00
1.E+01,0.E+00,0.E+00,0.E+00,1.E+00
2.E+01,0.E+00,0.E+00,0.E+00,6.E-01
2.E+01,2.E-11,0.E+00,0.E+00,0.E+00
2.E+01,2.E-11,0.E+00,0.E+00,-6.E-01
2.E+01,0.E+00,0.E+00,0.E+00,-1.E+00
2.E+01,2.E-11,-2.E-11,0.E+00,-2.E+00
2.E+01,0.E+00,0.E+00,-2.E-11,-2.E+00
2.E+01,0.E+00,0.E+00,0.E+00,-3.E+00
