,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,2.8e-09,0.0,-2.82e-09,0.0
1,2.175e-06,0.0,-2.1767e-06,0.1
2,4.2768e-06,0.0,-4.2765e-06,0.2
3,6.3106e-06,-2e-11,-6.3112e-06,0.3
4,8.2868e-06,0.0,-8.2854e-06,0.4
5,1.02077e-05,0.0,-1.02083e-05,0.5
6,1.2086e-05,0.0,-1.2082e-05,0.6
7,1.3914e-05,0.0,-1.3914e-05,0.7
8,1.5692e-05,0.0,-1.5692e-05,0.8
9,1.7434e-05,0.0,-1.7434e-05,0.9
10,1.9134e-05,0.0,-1.9132e-05,1.0
11,1.9092e-05,0.0,-1.9092e-05,1.0
12,1.7312e-05,0.0,-1.7308e-05,0.9
13,1.5506e-05,0.0,-1.5504e-05,0.8
14,1.3674e-05,0.0,-1.3676e-05,0.7
15,1.1812e-05,0.0,-1.181e-05,0.6
16,9.9162e-06,2e-11,-9.9169e-06,0.5
17,7.9971e-06,0.0,-7.9969e-06,0.4
18,6.043e-06,0.0,-6.0427e-06,0.3
19,4.0611e-06,0.0,-4.0618e-06,0.2
20,2.0464e-06,0.0,-2.0478e-06,0.1
21,1.26e-09,0.0,-1.78e-09,0.0
