,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-1.16e-12,1.09e-12,5.4e-13,-0.5
1,-1.24e-12,8.6e-13,1.1e-12,-0.465
2,-1.18e-12,8.4e-13,1.51e-12,-0.43
3,-6.7e-13,8.5e-13,8.7e-13,-0.395
4,-3.2e-13,9.8e-13,1.16e-12,-0.36
5,-7.6e-13,5.8e-13,9.8e-13,-0.325
6,9e-14,1.3e-12,8.8e-13,-0.29
7,-7.9e-13,7.8e-13,1.12e-12,-0.255
8,-4.8e-13,7.6e-13,8e-13,-0.22
9,-8.5e-13,1.06e-12,1.14e-12,-0.185
10,-9e-14,7.2e-13,8.3e-13,-0.15
11,-3.4e-13,4.3e-13,1.23e-12,-0.115
12,-7.7e-13,6.7e-13,8.4e-13,-0.08
13,-9.8e-13,9.6e-13,1.21e-12,-0.045
14,-5.5e-13,9.2e-13,5.8e-13,-0.01
15,-9e-14,7.2e-13,8.6e-13,0.025
16,-7.5e-13,7.7e-13,1e-12,0.06
17,-3.3e-13,1.28e-12,1.05e-12,0.095
18,-3.3e-13,5.7e-13,1.23e-12,0.13
19,-2e-14,1.34e-12,1.21e-12,0.165
20,-6e-13,8e-13,1.39e-12,0.2
21,2.2e-13,7e-13,9.6e-13,0.235
22,-5e-14,4.8e-13,1.3e-12,0.27
23,2.1e-13,1.16e-12,8.3e-13,0.305
24,-2.7e-13,9.5e-13,1.12e-12,0.34
25,-9.1e-13,5.6e-13,1.39e-12,0.375
26,-7.8e-13,1.22e-12,9e-13,0.41
27,-3e-13,4.1e-13,1.13e-12,0.445
28,-5.2e-13,7.9e-13,9.2e-13,0.48
29,-7.5e-13,6e-13,1.28e-12,0.515
30,2.1e-13,5.2e-13,9.8e-13,0.55
31,-8.1e-13,1.36e-12,1.34e-12,0.585
32,-2.9e-13,5.9e-13,1.79e-12,0.62
33,-2.1e-13,9.1e-13,1.15e-12,0.655
34,4e-14,7.5e-13,6.8e-13,0.69
35,5e-14,8e-13,1.22e-12,0.725
36,-3.6e-13,6.9e-13,1.17e-12,0.76
37,-1.4e-13,6.3e-13,1e-12,0.795
38,-8e-14,1.13e-12,1.1e-12,0.83
39,-3e-13,6.4e-13,1.12e-12,0.865
40,1.9e-13,6.4e-13,1.67e-12,0.9
41,-4.3e-13,4.6e-13,1.05e-12,0.935
42,-7.1e-13,8.8e-13,1.12e-12,0.97
43,3.8e-13,1.11e-12,1.03e-12,1.005
44,1.3e-13,1.15e-12,1.58e-12,1.04
45,-8.3e-13,7.1e-13,1.34e-12,1.075
46,-2e-14,1.3e-12,6.8e-13,1.11
47,1.7e-13,7.6e-13,1.53e-12,1.145
48,4e-14,5.3e-13,1.04e-12,1.18
49,-1.9e-13,8.2e-13,1.67e-12,1.215
50,1.1e-13,5e-13,9.2e-13,1.25
51,-2.1e-13,1.4e-13,9.4e-13,1.285
52,-4.7e-13,4.6e-13,6.7e-13,1.32
53,-4.2e-13,8.3e-13,1e-12,1.355
54,1.2e-13,4.7e-13,1.22e-12,1.39
55,-3.2e-13,1.21e-12,1.3e-12,1.425
56,-1.9e-13,6.5e-13,1.25e-12,1.46
57,-6e-14,3.6e-13,1.2e-12,1.495
58,-3.9e-13,8.1e-13,1.07e-12,1.53
59,1.3e-13,5.6e-13,1.08e-12,1.565
60,-3e-13,7.1e-13,1.05e-12,1.6
61,-5e-13,7.8e-13,1.19e-12,1.635
62,-9.2e-13,1.28e-12,1.49e-12,1.67
63,-1.14e-12,3.4e-13,1.09e-12,1.705
64,3.3e-13,1.08e-12,9.5e-13,1.74
65,-5.8e-13,3.9e-13,7.8e-13,1.775
66,-2.5e-13,1.36e-12,8.1e-13,1.81
67,-2.4e-13,1.19e-12,1.55e-12,1.845
68,4.2e-13,5.4e-13,1.1e-12,1.88
69,-1.9e-13,1.07e-12,1.15e-12,1.915
70,-3.3e-13,4.3e-13,1.04e-12,1.95
71,-4.7e-13,6.8e-13,1.32e-12,1.985
72,-1.7e-13,6.4e-13,1.44e-12,2.02
73,0.0,1.35e-12,1.05e-12,2.055
74,-2.7e-13,4.2e-13,1.39e-12,2.09
75,-7.3e-13,1.22e-12,5.5e-13,2.125
76,-6e-13,9.4e-13,1.07e-12,2.16
77,1e-13,6.6e-13,1.23e-12,2.195
78,-2e-14,8.7e-13,9.7e-13,2.23
79,-7e-14,2.7e-13,1e-12,2.265
80,-2.8e-13,9.6e-13,9.5e-13,2.3
81,-4.2e-13,6.6e-13,1.27e-12,2.335
82,-5.5e-13,1.16e-12,8.3e-13,2.37
83,-5.6e-13,9.4e-13,6.5e-13,2.405
84,6e-14,1.32e-12,6e-13,2.44
85,-1.6e-13,6.2e-13,1.24e-12,2.475
86,1e-14,1.14e-12,9.3e-13,2.51
87,8e-14,5.4e-13,1.38e-12,2.545
88,1.5e-13,1.02e-12,8.6e-13,2.58
89,-1.6e-13,6.3e-13,1.22e-12,2.615
90,-2.7e-13,8.5e-13,1.01e-12,2.65
91,6e-14,1.04e-12,1.13e-12,2.685
92,-5e-13,9.6e-13,1.06e-12,2.72
93,-2.4e-13,1.04e-12,8.6e-13,2.755
94,2.8e-13,1.7e-13,9.9e-13,2.79
95,-2.4e-13,1.13e-12,1.46e-12,2.825
96,-4.4e-13,4.4e-13,1.06e-12,2.86
97,2e-13,8.3e-13,9e-13,2.895
98,-2e-13,4.9e-13,1.05e-12,2.93
99,2.7e-13,9e-13,1.24e-12,2.965
100,-1.4e-13,6.2e-13,1.33e-12,3.0
