VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,2.5481e-09,-2.46e-13,-2.46088e-09,0.0
10.0,8.9759e-07,-1.648e-12,-8.9785e-07,0.125
10.0,1.7751e-06,1.422e-12,-1.775e-06,0.25
10.0,2.6356e-06,-7.14e-13,-2.6362e-06,0.375
10.0,3.477e-06,-9.1e-13,-3.4775e-06,0.5
10.0,4.2982e-06,-6.6e-13,-4.3002e-06,0.625
10.0,5.1026e-06,-1.052e-12,-5.1035e-06,0.75
10.0,5.8833e-06,8.9e-13,-5.8828e-06,0.875
10.0,6.6508e-06,-1.34e-13,-6.6507e-06,1.0
10.0,7.3986e-06,-6.84e-13,-7.4015e-06,1.125
10.0,8.1304e-06,7.38e-13,-8.1318e-06,1.25
10.0,8.8443e-06,1.194e-12,-8.8441e-06,1.375
10.0,9.5347e-06,5.1e-13,-9.5356e-06,1.5
10.0,1.02126e-05,-1.11e-12,-1.02151e-05,1.625
10.0,1.0874e-05,1.718e-12,-1.08743e-05,1.75
10.0,1.152e-05,2.94e-13,-1.15219e-05,1.875
10.0,1.2147e-05,8.42e-13,-1.2145e-05,2.0
10.0,1.2754e-05,-1.792e-12,-1.276e-05,2.125
10.0,1.3345e-05,-1.094e-12,-1.3344e-05,2.25
10.0,1.3922e-05,5.3e-13,-1.3925e-05,2.375
10.0,1.4481e-05,-1.176e-12,-1.4486e-05,2.5
10.0,1.5029e-05,-8.28e-13,-1.503e-05,2.625
10.0,1.5561e-05,-7.04e-13,-1.5565e-05,2.75
10.0,1.6071e-05,-9.5e-13,-1.6073e-05,2.875
10.0,1.6569e-05,-5.44e-13,-1.6566e-05,3.0
10.0,1.7048e-05,6.1e-13,-1.7049e-05,3.125
10.0,1.7521e-05,8.52e-13,-1.7518e-05,3.25
10.0,1.7972e-05,-2.6e-14,-1.7977e-05,3.375
10.0,1.8406e-05,1.14e-13,-1.8416e-05,3.5
10.0,1.8833e-05,-9.22e-13,-1.8829e-05,3.625
10.0,1.9244e-05,-8.22e-13,-1.9244e-05,3.75
10.0,1.964e-05,8.86e-13,-1.9645e-05,3.875
10.0,2.0017e-05,-4.22e-13,-2.0027e-05,4.0
10.0,2.0392e-05,-1.772e-12,-2.0391e-05,4.125
10.0,2.0744e-05,-9.9e-13,-2.0748e-05,4.25
10.0,2.1094e-05,-1.034e-12,-2.1094e-05,4.375
10.0,2.1418e-05,-2.246e-12,-2.1421e-05,4.5
10.0,2.1731e-05,3.08e-13,-2.1739e-05,4.625
10.0,2.2039e-05,4.52e-13,-2.2046e-05,4.75
10.0,2.2334e-05,-1.78e-13,-2.233e-05,4.875
10.0,2.2608e-05,-1.646e-12,-2.2613e-05,5.0
10.0,2.2879e-05,-2.32e-13,-2.2881e-05,5.125
10.0,2.3134e-05,-8.6e-14,-2.3137e-05,5.25
10.0,2.3382e-05,-1.398e-12,-2.3384e-05,5.375
10.0,2.3621e-05,1.472e-12,-2.3618e-05,5.5
10.0,2.3848e-05,1.34e-13,-2.385e-05,5.625
10.0,2.4064e-05,3.5e-13,-2.4064e-05,5.75
10.0,2.427e-05,1.54e-13,-2.4271e-05,5.875
10.0,2.4472e-05,-3.3e-13,-2.4475e-05,6.0
10.0,2.4661e-05,5.8e-13,-2.4657e-05,6.125
10.0,2.4831e-05,-5.88e-13,-2.4839e-05,6.25
10.0,2.5006e-05,2.08e-13,-2.5009e-05,6.375
10.0,2.5167e-05,-1.462e-12,-2.5173e-05,6.5
10.0,2.5327e-05,-1.802e-12,-2.5337e-05,6.625
10.0,2.5473e-05,-9.62e-13,-2.5486e-05,6.75
10.0,2.5617e-05,4.58e-13,-2.5628e-05,6.875
10.0,2.5759e-05,9.16e-13,-2.5764e-05,7.0
