VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,2.27046e-10,-1.68e-13,-3.61262e-10,0.0
10.0,8.321e-07,1.02e-13,-8.3306e-07,0.125
10.0,1.6278e-06,1.84e-13,-1.6268e-06,0.25
10.0,2.3902e-06,1.72e-13,-2.3907e-06,0.375
10.0,3.1166e-06,-3.26e-13,-3.1171e-06,0.5
10.0,3.8159e-06,-9e-14,-3.815e-06,0.625
10.0,4.4816e-06,-2.54e-13,-4.4841e-06,0.75
10.0,5.1161e-06,2.86e-13,-5.1204e-06,0.875
10.0,5.7266e-06,1.36e-13,-5.7264e-06,1.0
10.0,6.2996e-06,-2.26e-13,-6.3059e-06,1.125
10.0,6.8464e-06,-3.44e-13,-6.8482e-06,1.25
10.0,7.3638e-06,-2.5e-13,-7.3663e-06,1.375
10.0,7.8547e-06,5.4e-14,-7.8598e-06,1.5
10.0,8.322e-06,1.4e-13,-8.319e-06,1.625
10.0,8.7595e-06,2e-15,-8.7619e-06,1.75
10.0,9.1733e-06,-2.4e-14,-9.1753e-06,1.875
10.0,9.5595e-06,-1.72e-13,-9.5628e-06,2.0
10.0,9.9227e-06,-2.76e-13,-9.9274e-06,2.125
10.0,1.02709e-05,1.14e-13,-1.02744e-05,2.25
10.0,1.05907e-05,2.62e-13,-1.05965e-05,2.375
10.0,1.0888e-05,8e-14,-1.08866e-05,2.5
10.0,1.11651e-05,-4e-15,-1.11787e-05,2.625
10.0,1.1436e-05,7.14e-13,-1.14347e-05,2.75
10.0,1.1678e-05,-3.18e-13,-1.16825e-05,2.875
10.0,1.1919e-05,-1.84e-13,-1.1932e-05,3.0
10.0,1.2125e-05,1.6e-14,-1.2118e-05,3.125
10.0,1.2318e-05,-3.08e-13,-1.2323e-05,3.25
10.0,1.2491e-05,-5.12e-13,-1.2498e-05,3.375
10.0,1.2658e-05,-4.06e-13,-1.2661e-05,3.5
10.0,1.2817e-05,-2.86e-13,-1.2828e-05,3.625
