I_BG,I_S,I_D,V_BG,V_S,V_D
-5.18e-13,7.84e-13,1.674e-12,-2.07,0.0,0.1
-2.98e-13,-5.88e-13,6.46e-13,-1.89,0.0,0.1
-6.42e-13,1.668e-12,1.514e-12,-1.71,0.0,0.1
-6.86e-13,-9e-14,1.012e-12,-1.53,0.0,0.1
-6.24e-13,-1.2e-13,1.356e-12,-1.35,0.0,0.1
-5.1e-13,1.242e-12,5.64e-13,-1.17,0.0,0.1
-1.3e-13,1.504e-12,9.4e-13,-0.989,0.0,0.1
-1.64e-13,1.88e-13,1.054e-12,-0.809,0.0,0.1
3.28e-13,3.42e-13,1.72e-13,-0.629,0.0,0.1
-2.88e-13,5.86e-13,1.216e-12,-0.449,0.0,0.1
-3.18e-13,2.3e-13,8.48e-13,-0.269,0.0,0.1
6.8e-14,5.78e-13,4.44e-13,-0.089,0.0,0.1
-2.52e-13,8.78e-13,7.2e-13,0.091,0.0,0.1
-3.4e-13,7e-14,7.26e-13,0.271,0.0,0.1
5.2e-14,-8e-13,1.392e-12,0.451,0.0,0.1
1.5e-13,3.7e-13,1.394e-12,0.631,0.0,0.1
-5.2e-14,-2.006e-12,1.96e-12,0.811,0.0,0.1
2.46e-13,-1.604e-12,3.048e-12,0.991,0.0,0.1
4.72e-13,-4.24e-12,4.374e-12,1.172,0.0,0.1
1.18e-13,-5.77e-12,7.168e-12,1.352,0.0,0.1
1.22e-13,-1.141e-11,1.179e-11,1.532,0.0,0.1
6.62e-13,-1.2498e-11,1.0948e-11,1.712,0.0,0.1
3.68e-13,-1.8298e-11,1.992e-11,1.892,0.0,0.1
3.4e-14,-2.5752e-11,2.4528e-11,2.072,0.0,0.1
5.56e-13,-3.2282e-11,3.9746e-11,2.252,0.0,0.1
6.38e-13,-4.4952e-11,4.4146e-11,2.432,0.0,0.1
6.84e-13,-7.3848e-11,7.4856e-11,2.612,0.0,0.1
5.26e-13,-9.0306e-11,8.7812e-11,2.792,0.0,0.1
1.152e-12,-1.29056e-10,1.2191e-10,2.972,0.0,0.1
4e-13,-1.80376e-10,1.7221e-10,3.152,0.0,0.1
3.7e-13,-2.14806e-10,2.10222e-10,3.333,0.0,0.1
9.06e-13,-2.18842e-10,2.16386e-10,3.513,0.0,0.1
5.2e-13,-2.58762e-10,2.5063e-10,3.693,0.0,0.1
5.78e-13,-3.08194e-10,3.14456e-10,3.873,0.0,0.1
1.064e-12,-4.46532e-10,4.29124e-10,4.053,0.0,0.1
8.38e-13,-6.02446e-10,5.9425e-10,4.233,0.0,0.1
5.9e-13,-9.40474e-10,9.65242e-10,4.413,0.0,0.1
1.178e-12,-8.50366e-10,8.03678e-10,4.593,0.0,0.1
6.66e-13,-1.03982e-09,9.13902e-10,4.773,0.0,0.1
5.68e-13,-1.21368e-09,1.10444e-09,4.953,0.0,0.1
9.26e-13,-1.47932e-09,1.38796e-09,5.133,0.0,0.1
8.76e-13,-1.89016e-09,1.82654e-09,5.314,0.0,0.1
1.118e-12,-2.357e-09,2.26176e-09,5.494,0.0,0.1
1.006e-12,-2.6468e-09,2.71826e-09,5.674,0.0,0.1
1.432e-12,-3.64308e-09,3.3798e-09,5.854,0.0,0.1
9.16e-13,-3.60184e-09,3.54434e-09,6.034,0.0,0.1
1.336e-12,-3.93142e-09,3.841e-09,6.214,0.0,0.1
1.482e-12,-4.14806e-09,4.2438e-09,6.394,0.0,0.1
1.788e-12,-4.31072e-09,4.1637e-09,6.574,0.0,0.1
1.506e-12,-4.4616e-09,4.28348e-09,6.754,0.0,0.1
9.04e-13,-4.59644e-09,4.51464e-09,6.934,0.0,0.1
1.066e-12,-5.7089e-09,5.79206e-09,7.114,0.0,0.1
1.844e-12,-6.1497e-09,5.9669e-09,7.294,0.0,0.1
1.836e-12,-7.50344e-09,7.56694e-09,7.475,0.0,0.1
1.128e-12,-8.6786e-09,8.85906e-09,7.655,0.0,0.1
1.71e-12,-9.50388e-09,9.30762e-09,7.835,0.0,0.1
1.52e-12,-1.16945e-08,1.12438e-08,8.015,0.0,0.1
1.412e-12,-1.30389e-08,1.25876e-08,8.195,0.0,0.1
2.018e-12,-1.39256e-08,1.33807e-08,8.375,0.0,0.1
1.664e-12,-1.66144e-08,1.61005e-08,8.555,0.0,0.1
9.42e-13,-1.77428e-08,1.71798e-08,8.735,0.0,0.1
1.716e-12,-1.90814e-08,1.86476e-08,8.915,0.0,0.1
1.698e-12,-2.07799e-08,1.93583e-08,9.095,0.0,0.1
1.188e-12,-2.2958e-08,2.22804e-08,9.275,0.0,0.1
1.918e-12,-2.64e-08,2.54839e-08,9.455,0.0,0.1
2.07e-12,-2.97048e-08,2.86221e-08,9.636,0.0,0.1
2.086e-12,-3.5607e-08,3.47978e-08,9.816,0.0,0.1
1.884e-12,-4.06868e-08,3.86328e-08,9.996,0.0,0.1
2.488e-12,-4.62428e-08,4.53568e-08,10.176,0.0,0.1
2.424e-12,-5.20368e-08,5.06666e-08,10.356,0.0,0.1
1.834e-12,-5.72011e-08,5.46038e-08,10.536,0.0,0.1
2.274e-12,-6.47548e-08,6.30845e-08,10.716,0.0,0.1
2.198e-12,-7.44307e-08,7.17797e-08,10.896,0.0,0.1
1.902e-12,-8.09378e-08,8.01232e-08,11.076,0.0,0.1
2.114e-12,-8.9358e-08,8.80457e-08,11.256,0.0,0.1
2.616e-12,-1.017994e-07,1.005038e-07,11.436,0.0,0.1
2.01e-12,-1.1393e-07,1.1399e-07,11.617,0.0,0.1
2.152e-12,-1.237e-07,1.2463e-07,11.797,0.0,0.1
2.1e-12,-1.3927e-07,1.4131e-07,11.977,0.0,0.1
