I_BG,I_S,I_D,V_BG,V_S,V_D
-1.254e-12,1.494e-12,2.902e-12,-5.0,0.0,0.1
-9.8e-13,-4.54e-13,1.936e-12,-4.85,0.0,0.1
-1.234e-12,7.68e-13,3.258e-12,-4.7,0.0,0.1
-1.11e-12,7.76e-13,2.504e-12,-4.55,0.0,0.1
-1.014e-12,-4.42e-13,2.222e-12,-4.4,0.0,0.1
-1.46e-12,1.132e-12,3.158e-12,-4.25,0.0,0.1
-1.118e-12,2.44e-13,2.026e-12,-4.1,0.0,0.1
-1.016e-12,-7.08e-13,2.46e-12,-3.95,0.0,0.1
-1.452e-12,2.034e-12,3.15e-12,-3.8,0.0,0.1
-1.412e-12,-1.444e-12,2.146e-12,-3.65,0.0,0.1
-8.64e-13,-7.4e-14,2.634e-12,-3.5,0.0,0.1
-1.32e-12,1.486e-12,2.776e-12,-3.35,0.0,0.1
-1.188e-12,-8.74e-13,2.248e-12,-3.2,0.0,0.1
-8.76e-13,7.56e-13,2.542e-12,-3.05,0.0,0.1
-1.314e-12,-1e-14,2.094e-12,-2.9,0.0,0.1
-1.426e-12,1.7e-13,2.6e-12,-2.75,0.0,0.1
-7.14e-13,1.282e-12,2.274e-12,-2.6,0.0,0.1
-1.404e-12,3.06e-13,2.32e-12,-2.45,0.0,0.1
-1.08e-12,4.08e-13,2.896e-12,-2.3,0.0,0.1
-7.52e-13,6.38e-13,2.894e-12,-2.15,0.0,0.1
-1.25e-12,-1.28e-13,2.108e-12,-2.0,0.0,0.1
-1.446e-12,1.404e-12,3.048e-12,-1.85,0.0,0.1
-9.92e-13,-1.78e-13,2.746e-12,-1.7,0.0,0.1
-9.74e-13,-5.96e-13,2.272e-12,-1.55,0.0,0.1
-1.302e-12,1.276e-12,2.906e-12,-1.4,0.0,0.1
-8.02e-13,-4.1e-13,2.524e-12,-1.25,0.0,0.1
-5.7e-13,-2.4e-13,2.034e-12,-1.1,0.0,0.1
-1.56e-12,9.8e-13,2.64e-12,-0.95,0.0,0.1
-8.9e-13,-1.038e-12,2.548e-12,-0.8,0.0,0.1
-9.84e-13,5.76e-13,2.63e-12,-0.65,0.0,0.1
-9.64e-13,5.96e-13,2.732e-12,-0.5,0.0,0.1
-1.294e-12,-7.66e-13,2.262e-12,-0.35,0.0,0.1
-5.72e-13,3.16e-13,2.798e-12,-0.2,0.0,0.1
-1.054e-12,1.202e-12,2.274e-12,-0.05,0.0,0.1
-1.068e-12,-4.4e-14,2.81e-12,0.1,0.0,0.1
