I_BG,I_S,I_D,V_BG,V_S,V_D
-3.82e-13,-4.5e-13,3.6343e-12,-2.0,0.0,0.1
-5.08e-13,-6.4e-13,3.579e-12,-1.95,0.0,0.1
-5.02e-13,8e-15,3.5539e-12,-1.9,0.0,0.1
-7.4e-14,-1.46e-13,3.5567e-12,-1.85,0.0,0.1
-3e-13,-2.28e-13,3.5333e-12,-1.8,0.0,0.1
-7.42e-13,-1.28e-13,3.5833e-12,-1.75,0.0,0.1
-5.12e-13,-1.88e-13,3.5925e-12,-1.7,0.0,0.1
-5.56e-13,-6.68e-13,3.5967e-12,-1.65,0.0,0.1
-2.9e-13,-9.22e-13,3.6083e-12,-1.6,0.0,0.1
-5e-14,-9.14e-13,3.5787e-12,-1.55,0.0,0.1
5e-14,-2.32e-13,3.567e-12,-1.5,0.0,0.1
-3.4e-14,-4e-14,3.5414e-12,-1.45,0.0,0.1
-4.46e-13,-6.18e-13,3.6348e-12,-1.4,0.0,0.1
-5.56e-13,-5.6e-13,3.5798e-12,-1.35,0.0,0.1
-1.48e-13,8.4e-14,3.5616e-12,-1.3,0.0,0.1
-3.58e-13,-3.44e-13,3.5559e-12,-1.25,0.0,0.1
-4.9e-13,-4.58e-13,3.6097e-12,-1.2,0.0,0.1
-2.48e-13,-6.12e-13,3.5466e-12,-1.15,0.0,0.1
-3.4e-13,-6.84e-13,3.6343e-12,-1.1,0.0,0.1
-6.48e-13,-1.98e-13,3.6263e-12,-1.05,0.0,0.1
-5.44e-13,-8.4e-13,3.5485e-12,-1.0,0.0,0.1
-5.2e-13,-1.408e-12,3.6064e-12,-0.95,0.0,0.1
-4.04e-13,-3.12e-13,3.5899e-12,-0.9,0.0,0.1
-2.92e-13,-6.74e-13,3.5743e-12,-0.85,0.0,0.1
-4.74e-13,-2.52e-13,3.5675e-12,-0.8,0.0,0.1
-2.54e-13,2.18e-13,3.5289e-12,-0.75,0.0,0.1
-3.9e-13,-4.46e-13,3.5663e-12,-0.7,0.0,0.1
-3.66e-13,-6.28e-13,3.6151e-12,-0.65,0.0,0.1
2.74e-13,-6.46e-13,3.6325e-12,-0.6,0.0,0.1
6.4e-14,-5.2e-13,3.6026e-12,-0.55,0.0,0.1
-2.96e-13,-7.56e-13,3.5156e-12,-0.5,0.0,0.1
-1.3e-13,1.06e-13,3.5802e-12,-0.45,0.0,0.1
-4.24e-13,-5.76e-13,3.5889e-12,-0.4,0.0,0.1
-2.02e-13,-4.42e-13,3.5646e-12,-0.35,0.0,0.1
-2.34e-13,-3e-13,3.4965e-12,-0.3,0.0,0.1
1.14e-13,-1.98e-13,3.5525e-12,-0.25,0.0,0.1
-1.02e-13,-4.6e-13,3.5833e-12,-0.2,0.0,0.1
-8.6e-14,-5.6e-13,3.5758e-12,-0.15,0.0,0.1
-6.28e-13,-1.38e-13,3.5833e-12,-0.1,0.0,0.1
-3.68e-13,-1.34e-13,3.6722e-12,-0.05,0.0,0.1
-3.44e-13,-3.12e-13,3.5911e-12,0.0,0.0,0.1
-1.28e-13,-3.7e-13,3.643e-12,0.05,0.0,0.1
-5.5e-13,-9.86e-13,3.6737e-12,0.1,0.0,0.1
-3.56e-13,-5.56e-13,3.7685e-12,0.15,0.0,0.1
-3.88e-13,-1.124e-12,4.0056e-12,0.2,0.0,0.1
-4.26e-13,-1.146e-12,4.3464e-12,0.25,0.0,0.1
-6.66e-13,-1.446e-12,4.8989e-12,0.3,0.0,0.1
2.28e-13,-2.766e-12,5.8665e-12,0.35,0.0,0.1
-4.48e-13,-4.36e-12,7.5701e-12,0.4,0.0,0.1
1.78e-13,-6.706e-12,1.04957e-11,0.45,0.0,0.1
-3.76e-13,-1.1892e-11,1.44915e-11,0.5,0.0,0.1
-3.7e-13,-1.9248e-11,2.08367e-11,0.55,0.0,0.1
-2.78e-13,-3.0978e-11,3.00657e-11,0.6,0.0,0.1
-3.96e-13,-4.51e-11,4.48575e-11,0.65,0.0,0.1
-3.98e-13,-6.6366e-11,6.34e-11,0.7,0.0,0.1
-3.5e-13,-9.4044e-11,9.27616e-11,0.75,0.0,0.1
-4.14e-13,-1.34914e-10,1.34042e-10,0.8,0.0,0.1
-8.74e-13,-1.85322e-10,1.95088e-10,0.85,0.0,0.1
-2.26e-13,-2.72862e-10,2.70434e-10,0.9,0.0,0.1
-5.62e-13,-3.61814e-10,3.61756e-10,0.95,0.0,0.1
-3.66e-13,-4.80926e-10,4.8227e-10,1.0,0.0,0.1
-3.06e-13,-6.2968e-10,6.24022e-10,1.05,0.0,0.1
-1.74e-13,-7.9169e-10,7.93538e-10,1.1,0.0,0.1
-3.7e-13,-1.010904e-09,1.021544e-09,1.15,0.0,0.1
-5.96e-13,-1.20142e-09,1.17922e-09,1.2,0.0,0.1
-7.66e-13,-1.49306e-09,1.5071e-09,1.25,0.0,0.1
-4.52e-13,-1.82908e-09,1.84768e-09,1.3,0.0,0.1
-2.56e-13,-2.25386e-09,2.26022e-09,1.35,0.0,0.1
-4.08e-13,-2.67788e-09,2.70048e-09,1.4,0.0,0.1
-1.96e-13,-3.23886e-09,3.24496e-09,1.45,0.0,0.1
-2e-14,-3.83852e-09,3.79582e-09,1.5,0.0,0.1
-3.86e-13,-4.4367e-09,4.41086e-09,1.55,0.0,0.1
-5.9e-13,-5.12638e-09,5.13926e-09,1.6,0.0,0.1
-2.84e-13,-5.92452e-09,5.90512e-09,1.65,0.0,0.1
-4.4e-14,-6.68028e-09,6.70322e-09,1.7,0.0,0.1
-1.04e-13,-7.69238e-09,7.66624e-09,1.75,0.0,0.1
1.2e-14,-8.64586e-09,8.66534e-09,1.8,0.0,0.1
