Subsite Name,X Position,Y Position,Note
1,0,0,
2,240,0,
3,480,0,
4,720,0,
5,960,0,
6,1200,0,
7,1440,0,
8,1680,0,
9,1920,0,
10,2160,0,
11,2400,0,
12,2640,0,
13,2880,0,
14,3120,0,
15,3360,0,
16,3600,0,
17,0,100,
18,240,100,
19,480,100,
20,720,100,
21,960,100,
22,1200,100,
23,1440,100,
24,1680,100,
25,1920,100,
26,2160,100,
27,2400,100,
28,2640,100,
29,2880,100,
30,3120,100,
31,3360,100,
32,3600,100,
33,0,200,
34,240,200,
35,480,200,
36,720,200,
37,960,200,
38,1200,200,
39,1440,200,
40,1680,200,
41,1920,200,
42,2160,200,
43,2400,200,
44,2640,200,
45,2880,200,
46,3120,200,
47,3360,200,
48,3600,200,
49,0,300,
50,240,300,
51,480,300,
52,720,300,
53,960,300,
54,1200,300,
55,1440,300,
56,1680,300,
57,1920,300,
58,2160,300,
59,2400,300,
60,2640,300,
61,2880,300,
62,3120,300,
63,3360,300,
64,3600,300,
65,0,400,
66,240,400,
67,480,400,
68,720,400,
69,960,400,
70,1200,400,
71,1440,400,
72,1680,400,
73,1920,400,
74,2160,400,
75,2400,400,
76,2640,400,
77,2880,400,
78,3120,400,
79,3360,400,
80,3600,400,
81,0,500,
82,240,500,
83,480,500,
84,720,500,
85,960,500,
86,1200,500,
87,1440,500,
88,1680,500,
89,1920,500,
90,2160,500,
91,2400,500,
92,2640,500,
93,2880,500,
94,3120,500,
95,3360,500,
96,3600,500,
97,0,600,
98,240,600,
99,480,600,
100,720,600,
101,960,600,
102,1200,600,
103,1440,600,
104,1680,600,
105,1920,600,
106,2160,600,
107,2400,600,
108,2640,600,
109,2880,600,
110,3120,600,
111,3360,600,
112,3600,600,
113,0,700,
114,240,700,
115,480,700,
116,720,700,
117,960,700,
118,1200,700,
119,1440,700,
120,1680,700,
121,1920,700,
122,2160,700,
123,2400,700,
124,2640,700,
125,2880,700,
126,3120,700,
127,3360,700,
128,3600,700,
129,0,800,
130,240,800,
131,480,800,
132,720,800,
133,960,800,
134,1200,800,
135,1440,800,
136,1680,800,
137,1920,800,
138,2160,800,
139,2400,800,
140,2640,800,
141,2880,800,
142,3120,800,
143,3360,800,
144,3600,800,
145,0,900,
146,240,900,
147,480,900,
148,720,900,
149,960,900,
150,1200,900,
151,1440,900,
152,1680,900,
153,1920,900,
154,2160,900,
155,2400,900,
156,2640,900,
157,2880,900,
158,3120,900,
159,3360,900,
160,3600,900,
